Date,Open,High,Low,Close,Volume
2023-12-22,5650,5700,5600,5675,109411300
2023-12-21,5550,5600,5525,5575,99049600
2023-12-20,5700,5700,5550,5550,138470900
2023-12-19,5450,5550,5450,5550,158893700
2023-12-18,5575,5575,5500,5500,102780900
2023-12-15,5575,5600,5550,5550,252448800
2023-12-14,5450,5550,5425,5550,270760600
2023-12-13,5300,5350,5275,5300,98881600
2023-12-12,5375,5400,5325,5325,134501600
2023-12-11,5325,5375,5300,5300,124468600
2023-12-08,5425,5450,5375,5375,130542600
2023-12-07,5400,5475,5400,5475,102126600
2023-12-06,5425,5450,5400,5425,119716700
2023-12-05,5425,5500,5425,5450,114689900
2023-12-04,5450,5575,5450,5500,235656700
2023-12-01,5275,5375,5275,5350,99499500
2023-11-30,5375,5375,5275,5275,224426400
2023-11-29,5350,5375,5300,5300,106197800
2023-11-28,5325,5425,5325,5350,147993400
2023-11-27,5425,5450,5350,5350,76019100
2023-11-24,5400,5450,5375,5400,104413400
2023-11-23,5325,5400,5300,5350,174572400
2023-11-22,5175,5300,5175,5275,103585500
2023-11-21,5225,5250,5175,5200,104110500
2023-11-20,5175,5275,5175,5250,67314400
2023-11-17,5175,5250,5175,5225,70727500
2023-11-16,5275,5275,5175,5250,129684200
2023-11-15,5200,5300,5175,5250,193790400
2023-11-14,5075,5125,5050,5075,85419500
2023-11-13,5075,5125,5025,5025,92518000
2023-11-10,5150,5150,5050,5075,113811900
2023-11-09,5225,5275,5200,5200,66236400
2023-11-08,5200,5250,5175,5225,86781600
2023-11-07,5225,5275,5175,5250,137039400
2023-11-06,5100,5200,5100,5200,122333800
2023-11-03,5025,5175,5025,5100,125504000
2023-11-02,4940,5075,4910,5000,208075400
2023-11-01,4920,4960,4830,4830,191567200
2023-10-31,4980,5000,4960,4960,106760300
2023-10-30,4980,5025,4970,5000,108523700
2023-10-27,4950,5050,4940,5000,129599800
2023-10-26,5175,5175,4920,4920,330618800
2023-10-25,5100,5200,5100,5175,142215000
2023-10-24,5000,5100,4950,5100,104021500
2023-10-23,5000,5075,4990,5000,82756100
2023-10-20,4980,5100,4960,5050,194316200
2023-10-19,5100,5150,5000,5000,195831400
2023-10-18,5125,5225,5125,5150,180350500
2023-10-17,5250,5275,5150,5150,127287200
2023-10-16,5325,5325,5250,5250,61273200
2023-10-13,5275,5325,5250,5275,84648800
2023-10-12,5300,5375,5275,5300,174022400
2023-10-11,5150,5275,5150,5250,100394800
2023-10-10,5125,5250,5125,5175,115565600
2023-10-09,5200,5225,5125,5125,144477000
2023-10-06,5200,5250,5175,5175,70202300
2023-10-05,5250,5275,5175,5175,116814800
2023-10-04,5250,5275,5200,5250,121445000
2023-10-03,5250,5300,5250,5275,54506000
2023-10-02,5250,5300,5250,5250,81674600
2023-09-29,5300,5325,5225,5225,140348900
2023-09-27,5175,5300,5175,5225,119774700
2023-09-26,5250,5275,5200,5200,180280600
2023-09-25,5325,5350,5200,5300,131581100
2023-09-22,5350,5425,5350,5350,83184100
2023-09-21,5425,5425,5350,5350,68584900
2023-09-20,5350,5450,5350,5375,98710100
2023-09-19,5325,5375,5300,5375,61069300
2023-09-18,5350,5400,5300,5325,61329000
2023-09-15,5400,5450,5375,5375,141455400
2023-09-14,5325,5425,5325,5425,76831700
2023-09-13,5350,5425,5350,5400,59408000
2023-09-12,5450,5475,5375,5375,121654400
2023-09-11,5350,5425,5300,5425,80474100
2023-09-08,5425,5450,5300,5350,243324500
2023-09-07,5525,5550,5450,5450,157998600
2023-09-06,5625,5650,5575,5575,106367800
2023-09-05,5625,5650,5600,5625,72464300
2023-09-04,5600,5625,5575,5625,43898200
2023-09-01,5600,5600,5525,5575,87366100
2023-08-31,5525,5550,5475,5550,175088200
2023-08-30,5600,5600,5500,5525,171282700
2023-08-29,5525,5600,5525,5600,57547200
2023-08-28,5600,5625,5550,5550,37126600
2023-08-25,5550,5600,5525,5600,65096500
2023-08-24,5625,5625,5550,5550,74407500
2023-08-23,5600,5625,5575,5600,78686900
2023-08-22,5500,5625,5500,5575,101221500
2023-08-21,5550,5575,5500,5500,91640000
2023-08-18,5500,5600,5500,5575,121561200
2023-08-16,5550,5575,5450,5525,226754600
2023-08-15,5650,5675,5575,5575,89597300
2023-08-14,5650,5675,5575,5650,127358400
2023-08-11,5675,5700,5650,5650,74321000
2023-08-10,5675,5725,5675,5700,85574500
2023-08-09,5650,5725,5625,5700,91930000
2023-08-08,5700,5750,5600,5625,115672300
2023-08-07,5600,5725,5575,5700,88104900
2023-08-04,5700,5725,5575,5575,150738500
2023-08-03,5675,5750,5650,5700,82775000
2023-08-02,5650,5725,5650,5700,90611300
2023-08-01,5650,5750,5650,5700,100137500
2023-07-31,5700,5700,5650,5650,186727400
2023-07-28,5625,5700,5625,5700,74036700
2023-07-27,5675,5750,5650,5650,109859200
2023-07-26,5700,5700,5650,5675,76200300
2023-07-25,5625,5700,5625,5650,111248100
2023-07-24,5600,5650,5600,5600,62962500
2023-07-21,5600,5625,5575,5625,63094600
2023-07-20,5575,5650,5550,5625,111117300
2023-07-18,5625,5700,5600,5625,141884700
2023-07-17,5550,5625,5525,5575,166951300
2023-07-14,5450,5525,5425,5525,127814200
2023-07-13,5425,5475,5425,5450,134905700
2023-07-12,5450,5475,5425,5450,104993700
2023-07-11,5375,5450,5375,5425,122094700
2023-07-10,5425,5500,5400,5400,78972100
2023-07-07,5400,5425,5375,5375,114043800
2023-07-06,5450,5475,5400,5425,109446200
2023-07-05,5400,5450,5400,5450,109632800
2023-07-04,5500,5500,5425,5450,94462600
2023-07-03,5500,5550,5450,5475,168565800
2023-06-27,5450,5500,5425,5425,110778600
2023-06-26,5425,5475,5375,5450,85472100
2023-06-23,5425,5475,5400,5400,123350300
2023-06-22,5550,5600,5475,5475,94143200
2023-06-21,5500,5575,5500,5575,84658500
2023-06-20,5475,5550,5475,5550,102926800
2023-06-19,5500,5525,5450,5525,55144200
